usage_id,customer_id,call_minutes,data_used_gb,sms_count,usage_date
153,1682,281.3,2.93,446,2025-03-25
154,9894,264.94,1.22,114,2024-05-28
155,9407,332.77,79.54,400,2024-11-15
156,9564,7.34,86.85,10,2024-09-16
157,8309,170.92,25.98,331,2025-02-05
158,4499,41.85,51.93,323,2025-02-04
159,7624,106.18,39.82,101,2025-04-21
160,2115,208.45,78.05,186,2024-09-08
161,488,229.04,72.06,11,2024-11-08
162,5865,412.35,36.73,88,2024-09-02
163,9437,477.78,21.93,9,2024-08-22
164,981,264.58,65.13,237,2025-04-28
165,3263,392.85,91.1,132,2025-02-10
166,8043,127.13,4.07,192,2024-06-22
167,5191,346.4,79.3,421,2024-05-14
168,4152,25.01,88.62,44,2024-06-05
169,9727,348.09,80.27,112,2024-10-28
170,7247,85.81,1.56,272,2025-01-17
171,391,296.67,33.66,77,2024-08-16
172,1441,289.24,22.29,385,2025-04-16
173,1545,159.89,41.52,448,2025-02-09
174,1601,20.42,44.79,402,2025-04-30
175,8501,128.78,15.62,333,2024-11-13
176,7087,328.12,69.95,373,2024-11-26
177,5632,55.44,94.21,250,2024-09-25
178,6987,30.25,93.28,188,2024-12-30
179,7484,188.1,39.23,4,2024-10-15
180,6286,274.78,98.81,497,2025-01-29
181,9116,472.02,60.08,80,2024-07-15
182,3457,194.25,11.88,399,2024-12-19
183,5272,431.48,81.96,217,2024-08-19
184,6582,392.61,74.39,364,2024-08-11
185,8032,355.65,2.71,287,2024-05-13
186,1669,244.92,58.38,86,2024-10-02
187,5042,320.51,98.31,194,2024-09-26
188,1885,175.42,14.31,441,2025-01-25
189,2729,70.0,6.14,490,2024-09-09
190,5609,373.69,57.19,197,2024-10-07
191,9069,113.48,74.96,248,2024-09-17
192,987,458.25,83.9,210,2024-09-04
193,401,116.8,0.41,408,2024-07-21
194,9666,206.97,85.44,82,2024-12-06
195,5177,15.48,17.6,359,2025-04-07
196,7339,453.49,74.87,354,2024-10-31
197,7099,243.34,57.56,182,2024-12-10
198,1529,24.0,24.76,33,2024-08-19
199,4699,101.14,70.75,254,2024-08-02
200,9545,273.74,18.51,138,2025-02-08
201,865,436.67,71.58,113,2024-07-06
202,3451,310.86,62.17,497,2024-09-24
203,2412,439.11,23.62,367,2024-12-05
204,8395,80.33,70.67,61,2024-11-25
205,3039,108.72,5.45,457,2025-02-09
206,2174,150.51,28.47,392,2025-04-21
207,1462,75.5,32.6,263,2024-11-24
208,1472,191.11,42.78,342,2024-06-26
209,8531,465.01,12.58,29,2024-07-14
210,1456,318.28,8.07,95,2024-07-17
211,1980,139.06,97.59,264,2024-10-26
212,1983,62.29,87.42,329,2024-12-17
213,2517,135.32,1.26,328,2024-07-02
214,7511,234.16,59.29,194,2025-03-14
215,283,393.75,41.64,363,2024-10-15
216,7314,390.6,14.13,79,2024-08-19
217,4085,382.49,95.15,34,2024-07-20
218,7005,229.99,42.15,86,2025-02-17
219,763,38.54,24.61,413,2024-11-18
220,7096,160.15,13.12,432,2024-06-01
221,5844,442.1,15.38,49,2024-07-30
222,3767,365.33,30.85,7,2025-03-16
223,4389,5.96,81.07,140,2025-04-18
224,9038,356.21,57.5,460,2024-12-14
225,221,45.01,97.49,307,2024-06-06
226,8755,249.65,43.48,446,2024-08-22
227,1019,265.55,56.04,371,2025-01-30
228,2087,326.95,50.64,134,2024-10-08
229,756,341.55,0.81,56,2025-01-30
230,8940,83.85,69.25,204,2025-03-13
231,5940,188.13,69.97,215,2024-06-27
232,7687,101.71,15.92,63,2025-04-20
233,1170,222.04,99.0,101,2025-04-18
234,1033,216.84,29.0,128,2024-05-12
235,2,414.52,55.75,389,2025-03-05
236,5093,391.75,10.75,100,2025-02-28
237,9550,97.38,27.08,188,2024-11-08
238,771,382.11,53.0,11,2024-11-29
239,1005,23.99,14.32,457,2024-08-12
240,8037,229.16,48.33,108,2024-09-05
241,9086,395.34,93.18,298,2024-06-22
242,952,48.37,14.9,201,2024-07-13
243,7167,25.47,32.87,179,2024-11-16
244,8394,347.9,65.15,233,2025-03-14
245,8563,27.71,4.33,381,2024-09-01
246,6417,7.37,66.34,310,2025-01-06
247,7444,295.12,26.55,143,2024-05-14
248,843,477.45,75.58,430,2024-07-04
249,4521,239.54,81.61,323,2024-05-01
250,168,331.39,42.75,283,2025-03-11
251,2368,350.61,36.56,106,2025-04-28
252,1315,155.28,76.57,366,2025-04-06
253,8379,96.59,57.01,399,2024-12-05
254,334,445.01,14.28,4,2024-12-14
255,6161,451.8,90.03,493,2024-07-17
256,3257,344.04,91.61,149,2024-09-08
257,3265,31.61,87.55,140,2024-09-17
258,4433,421.42,55.91,387,2024-10-21
259,3417,444.74,48.79,58,2025-02-09
260,1958,264.35,6.38,484,2024-10-19
261,217,32.03,96.67,145,2024-10-09
262,2348,91.47,34.18,450,2024-07-08
263,6663,481.03,23.79,212,2024-06-24
264,3771,249.76,63.52,179,2025-03-24
265,9867,167.71,76.28,303,2024-07-22
266,6007,272.71,8.76,65,2024-06-28
267,5277,248.48,65.72,350,2024-05-06
268,6566,264.54,18.45,302,2025-03-26
269,1169,451.45,91.61,204,2024-06-03
270,2304,402.55,32.99,375,2024-11-12
271,6000,287.97,46.15,205,2024-05-22
272,4233,261.95,25.61,54,2024-12-06
273,6098,168.99,40.27,334,2025-01-21
274,5368,418.82,69.25,447,2025-03-15
275,4146,250.77,36.73,203,2025-02-04
276,9066,424.82,12.15,252,2024-12-17
277,2126,27.66,50.42,229,2025-01-04
278,1963,43.95,62.64,282,2024-09-25
279,4598,416.98,97.71,61,2024-12-29
280,6138,55.8,78.25,325,2024-10-26
281,4292,56.41,63.36,274,2025-01-27
282,7431,369.69,9.26,379,2025-01-31
283,5888,444.99,17.87,352,2024-12-19
284,9396,272.36,71.77,35,2024-10-15
285,3202,490.15,41.6,6,2025-01-08
286,2290,441.9,7.43,335,2024-07-13
287,6928,292.13,78.03,84,2024-06-12
288,5644,82.94,73.44,238,2024-12-25
289,1278,472.85,75.07,52,2025-03-14
290,7072,407.4,73.29,328,2025-03-02
291,1140,266.4,36.18,352,2025-02-27
292,4010,470.52,5.26,351,2024-07-28
293,1162,376.12,12.67,250,2025-01-16
294,3090,361.79,11.6,463,2025-01-21
295,5086,375.31,77.47,387,2025-04-14
296,3665,81.53,83.74,478,2025-01-12
297,3657,130.94,57.54,325,2024-10-12
298,6918,143.0,22.59,19,2025-01-27
299,8073,6.57,78.44,93,2024-10-28
300,7637,164.23,55.09,455,2025-03-18
301,7574,52.77,99.4,135,2024-06-28
302,3588,381.2,3.3,416,2024-11-21
303,1884,154.9,70.92,183,2025-02-09
304,534,322.32,56.28,109,2024-08-07
305,7321,138.92,44.68,121,2025-03-09
306,1178,362.45,59.47,239,2024-10-30
307,6750,494.92,54.49,387,2024-10-02
308,5405,188.71,11.61,338,2024-06-30
309,4738,194.61,12.66,356,2025-04-26
310,4468,87.1,66.64,94,2024-07-24
311,1865,66.15,32.15,98,2024-09-24
312,3987,402.85,45.26,139,2025-02-18
313,9714,471.85,92.52,483,2025-02-09
314,2084,103.16,92.04,172,2025-02-04
315,6640,266.75,44.84,476,2024-08-10
316,9198,299.75,49.82,10,2024-10-01
317,7563,368.12,35.27,328,2024-12-02
318,9246,348.71,9.78,297,2024-05-30
319,2432,129.59,35.86,34,2024-08-27
320,7940,429.3,50.13,40,2025-04-16
321,3478,253.28,86.96,143,2024-08-01
322,1756,307.17,15.62,71,2024-12-11
323,1519,319.04,47.48,431,2025-04-15
324,9465,40.42,12.24,115,2025-04-14
325,4657,196.16,19.18,170,2024-09-23
326,6773,67.86,70.09,383,2025-04-20
327,4057,157.15,88.92,367,2024-09-12
328,9149,176.09,40.49,120,2025-03-28
329,9608,441.22,22.53,301,2024-11-27
330,5612,439.17,75.44,175,2024-11-26
331,5520,52.14,44.95,430,2024-12-25
332,2825,403.34,39.76,71,2024-08-15
333,3505,437.94,2.97,82,2025-02-27
334,253,272.97,61.74,46,2024-10-16
335,8988,188.3,53.38,404,2024-07-10
336,5141,188.78,18.43,403,2025-03-28
337,7628,113.09,66.67,18,2025-01-25
338,6338,223.43,88.62,231,2024-11-30
339,2158,19.18,3.46,291,2024-06-06
340,8888,87.18,53.54,400,2025-04-15
341,2269,432.17,16.7,473,2024-06-30
342,6965,328.95,10.34,325,2024-06-12
343,5081,436.36,70.05,365,2024-09-22
344,9006,378.39,77.05,144,2024-11-11
345,4157,355.19,47.7,60,2024-05-29
346,9124,298.87,72.77,312,2024-07-03
347,6854,379.05,40.01,0,2024-09-14
348,7681,318.0,60.41,143,2024-06-16
349,1982,425.04,78.28,425,2025-01-27
350,3586,416.51,60.82,139,2024-12-03
351,9158,43.83,16.08,55,2025-01-28
352,3638,478.39,6.53,479,2024-07-15
353,4165,426.5,87.37,425,2024-09-11
354,635,351.3,82.63,356,2024-09-05
355,8565,401.38,78.18,271,2025-01-12
356,810,40.49,70.24,294,2024-05-12
357,5536,163.5,86.56,76,2025-03-08
358,1402,18.07,3.21,447,2024-11-10
359,6428,301.51,96.0,482,2025-01-13
360,5349,155.8,30.74,481,2024-07-15
361,9925,14.95,62.68,95,2024-10-08
362,8088,320.22,56.13,205,2025-03-17
363,7492,414.7,88.86,115,2024-10-24
364,2450,343.19,9.34,141,2024-10-29
365,6739,21.55,62.42,448,2024-08-27
366,8037,486.22,2.43,92,2024-05-05
367,4671,417.79,21.06,240,2024-10-21
368,697,294.4,20.56,357,2024-11-08
369,6344,290.9,39.87,491,2024-05-07
370,7159,499.21,95.92,282,2025-02-14
371,3393,320.96,56.53,27,2024-07-31
372,8183,429.44,21.43,38,2024-06-18
373,4016,437.02,21.68,184,2025-01-15
374,488,28.2,49.0,440,2024-11-10
375,7310,101.85,43.66,352,2024-07-09
376,1188,117.43,85.75,321,2024-11-23
377,8764,441.72,48.39,62,2025-01-18
378,5123,323.84,27.79,174,2025-02-23
379,9660,360.88,17.94,115,2024-11-14
380,8131,432.29,1.7,270,2024-09-29
381,4803,239.16,38.17,161,2024-07-11
382,1241,74.78,44.82,423,2024-09-16
383,6286,421.13,9.66,298,2024-05-17
384,7568,192.74,91.08,335,2024-08-28
385,7598,157.93,53.77,22,2024-12-14
386,4613,301.88,83.7,208,2024-08-25
387,3049,267.32,47.22,27,2025-01-06
388,9117,257.87,30.78,138,2024-07-15
389,4310,463.12,87.91,172,2024-08-20
390,888,429.23,5.61,407,2025-01-14
391,5119,346.25,15.46,473,2024-10-25
392,9543,420.72,5.34,129,2024-07-18
393,8517,298.41,64.38,232,2024-11-14
394,9946,228.0,65.21,457,2024-11-22
395,9486,51.76,85.34,73,2024-09-23
396,172,491.49,5.12,490,2024-06-27
397,4600,349.53,72.93,436,2024-09-19
398,4073,26.62,70.46,118,2024-11-24
399,1137,99.94,64.58,55,2024-11-14
400,1937,482.76,23.98,475,2025-02-01
401,880,409.24,42.02,496,2024-06-20
402,6759,13.51,89.2,188,2024-06-18
403,2733,48.48,16.96,214,2024-11-07
404,2652,110.7,16.61,365,2025-04-30
405,1833,438.09,80.8,412,2024-10-27
406,8521,315.55,45.44,167,2024-07-05
407,6098,65.31,0.25,449,2025-02-12
408,5642,481.21,74.29,231,2024-08-02
409,3915,393.29,34.69,278,2024-12-06
410,895,338.73,37.74,122,2024-07-09
411,5506,129.64,79.62,429,2024-07-23
412,6496,416.41,65.67,488,2024-11-15
413,7548,316.76,1.77,133,2025-03-06
414,9821,183.62,33.82,264,2024-12-25
415,3008,461.83,84.08,36,2024-10-23
416,487,321.86,54.74,304,2024-06-30
417,1960,478.53,16.83,491,2024-05-27
418,583,318.41,85.24,338,2024-10-21
419,2175,341.51,51.36,100,2024-10-17
420,9527,166.94,90.55,76,2025-01-16
421,8527,348.83,87.1,353,2024-11-30
422,6813,216.2,17.03,466,2025-02-26
423,2530,115.07,89.8,457,2024-06-20
424,5142,431.4,31.91,171,2025-01-15
425,3455,35.35,41.27,93,2025-01-08
426,5689,43.45,29.75,268,2025-01-21
427,2896,157.37,59.39,179,2024-10-04
428,3904,276.0,23.93,342,2025-02-28
429,8013,242.37,2.29,256,2024-05-19
430,9547,453.81,59.65,293,2024-08-04
431,3397,9.01,40.0,106,2024-09-06
432,6710,335.48,26.93,6,2024-07-08
433,2466,363.87,98.24,423,2024-06-26
434,44,181.03,81.86,402,2024-10-13
435,108,396.16,13.18,108,2024-05-06
436,8798,328.0,4.55,53,2024-12-04
437,1043,4.13,26.03,319,2025-03-02
438,7890,314.83,37.45,68,2025-04-30
439,589,490.28,72.89,371,2025-01-15
440,3411,132.49,47.98,469,2024-05-13
441,7052,70.43,64.63,32,2024-12-31
442,6863,111.27,39.1,220,2025-03-20
443,3839,190.39,32.56,220,2025-01-11
444,6109,71.3,81.29,154,2024-11-26
445,830,119.45,27.01,305,2024-05-21
446,1961,494.0,99.49,127,2024-05-08
447,1864,276.37,71.89,419,2024-11-29
448,7931,146.27,74.1,412,2025-02-11
449,3095,418.74,93.21,121,2025-03-13
450,8905,289.55,1.07,50,2024-12-12
451,7506,483.69,6.08,51,2024-09-25
452,777,492.91,68.87,342,2025-02-19
453,3468,385.95,23.08,179,2025-03-13
454,7638,440.58,47.73,114,2025-02-23
455,5458,485.21,71.72,276,2024-05-31
456,768,107.83,79.91,49,2024-05-06
457,6278,237.93,99.13,322,2024-06-11
458,8201,269.88,57.99,331,2025-03-24
459,5124,45.0,76.97,449,2024-08-12
460,9456,18.04,90.6,239,2024-10-19
461,421,438.03,76.78,256,2024-10-21
462,3482,284.76,49.56,226,2025-04-19
463,6800,362.06,13.38,490,2024-06-25
464,2878,286.63,6.94,420,2024-06-14
465,8182,483.13,62.29,248,2024-12-22
466,6968,65.45,57.02,287,2024-06-01
467,7727,281.33,93.12,135,2024-10-22
468,8510,302.93,47.43,224,2025-03-09
469,5571,54.42,9.81,179,2024-09-29
470,7394,358.26,76.44,46,2024-11-06
471,2538,438.23,34.55,71,2024-09-15
472,1337,431.79,20.17,51,2025-02-22
473,6401,113.4,51.69,53,2025-04-09
474,2310,95.26,25.5,478,2025-03-09
475,9929,10.2,96.53,279,2024-06-24
476,3757,49.23,57.92,471,2024-11-30
477,5994,458.58,90.07,94,2024-11-12
478,7690,453.06,80.76,107,2025-03-17
479,8860,84.97,80.07,155,2025-04-04
480,9682,385.28,46.92,55,2024-09-06
481,6778,250.43,20.74,306,2024-08-15
482,1315,139.68,86.08,376,2024-11-21
483,9579,194.11,0.52,273,2025-01-17
484,5565,470.48,22.11,208,2025-02-28
485,7931,347.43,21.47,300,2024-08-12
486,9608,182.74,7.28,83,2025-02-25
487,9280,175.36,14.84,287,2024-10-11
488,6359,461.55,87.57,86,2025-04-04
489,7788,3.12,94.78,120,2024-09-26
490,8252,386.57,98.38,85,2025-03-01
491,8721,245.26,19.1,289,2024-12-13
492,7452,382.13,48.01,18,2025-04-16
493,6286,318.56,6.21,365,2024-09-30
494,286,54.66,99.97,393,2024-07-30
495,179,164.46,34.64,187,2024-09-22
496,4394,493.93,83.77,55,2024-08-31
497,795,266.76,58.61,80,2024-12-31
498,1611,136.66,92.45,232,2024-08-27
499,2984,96.67,35.18,295,2025-04-02
500,174,95.21,13.83,3,2025-04-17
501,5696,109.69,79.79,196,2025-01-15
502,8202,112.73,43.88,285,2024-05-13
503,3572,414.29,62.42,89,2024-12-09
504,3609,305.68,82.42,461,2024-07-10
505,3365,229.39,70.44,477,2025-02-07
506,2141,44.18,7.42,447,2024-09-21
507,176,454.17,49.05,437,2025-02-21
508,9083,80.61,74.33,142,2024-06-13
509,5414,414.64,34.52,79,2025-02-13
510,2634,39.57,7.34,434,2025-03-30
511,2139,282.0,3.06,200,2024-11-28
512,5365,294.35,25.07,474,2025-03-22
513,6697,68.68,22.96,470,2024-11-10
514,6644,44.65,16.05,12,2024-12-30
515,7313,149.77,61.35,26,2024-06-12
516,3387,63.34,2.3,121,2024-07-11
517,3767,84.2,62.03,335,2025-02-07
518,2751,397.24,81.25,180,2024-04-30
519,7651,266.82,88.24,168,2024-07-23
520,7511,119.05,57.11,142,2024-05-24
521,7419,226.72,8.37,356,2025-02-06
522,2963,291.48,46.51,266,2025-03-12
523,7336,10.46,14.27,333,2025-04-12
524,9397,229.57,68.38,297,2025-02-28
525,4115,434.2,95.59,452,2025-03-30
526,9054,249.48,63.83,231,2024-11-25
527,8818,133.76,57.73,105,2024-12-09
528,7401,164.79,15.24,340,2025-03-16
529,8269,104.06,22.41,62,2024-07-10
530,1723,463.58,61.9,464,2024-11-09
531,527,276.58,57.25,279,2024-07-07
532,8492,318.92,20.79,423,2024-08-10
533,3434,179.37,95.08,410,2025-02-24
534,9826,131.69,10.86,60,2024-06-02
535,2933,478.99,18.07,352,2024-07-29
536,8867,499.33,23.43,298,2024-11-17
537,8445,241.38,7.38,167,2025-02-16
538,4165,150.75,91.44,32,2024-06-07
539,57,467.46,52.07,133,2024-11-14
540,656,334.79,24.86,481,2024-08-07
541,9441,364.46,39.16,49,2024-12-26
542,1774,183.83,37.16,353,2025-01-29
543,719,369.0,90.95,353,2025-01-12
544,233,158.97,94.32,183,2025-02-28
545,6779,436.72,88.65,122,2025-02-24
546,2984,123.91,80.47,225,2024-10-21
547,4630,378.2,50.47,124,2024-09-20
548,5833,343.35,89.82,342,2025-01-06
549,7767,414.55,5.5,107,2025-04-11
550,1010,234.22,54.72,213,2025-01-18
551,8926,221.39,84.17,11,2024-06-13
552,3715,433.13,3.73,376,2024-08-09
553,1069,310.27,89.03,178,2024-09-29
554,3759,83.09,3.54,146,2024-10-09
555,6817,486.86,26.23,446,2024-08-29
556,9032,282.46,69.1,308,2024-09-03
557,5246,295.73,82.28,196,2025-01-04
558,1915,253.15,77.26,283,2024-10-09
559,4197,254.79,2.98,32,2024-09-30
560,5682,169.71,14.08,252,2024-10-30
561,6901,227.2,40.46,206,2024-11-01
562,9353,222.7,29.83,219,2025-02-02
563,9041,453.16,98.71,473,2024-06-21
564,2327,207.28,79.89,443,2024-06-17
565,6662,327.72,6.17,158,2024-09-07
566,7894,208.14,33.52,422,2024-11-04
567,9093,182.69,96.64,103,2024-12-22
568,2582,247.62,63.17,335,2024-12-29
569,680,440.49,3.49,11,2024-10-16
570,5489,431.56,65.88,252,2025-04-24
571,1909,299.27,34.73,229,2025-02-20
572,2202,346.87,78.96,312,2025-02-05
573,1572,429.21,99.83,175,2025-02-16
574,6210,496.86,27.07,72,2024-10-20
575,698,340.89,48.37,84,2024-11-15
576,7971,414.78,46.59,60,2024-10-17
577,5472,431.2,94.73,290,2024-11-30
578,8235,4.56,1.93,344,2024-08-27
579,4030,330.95,97.79,287,2025-04-04
580,1667,251.68,31.5,391,2025-01-04
581,3817,202.6,5.81,59,2024-07-03
582,9956,322.83,6.17,391,2024-08-29
583,9958,174.62,69.29,192,2024-08-16
584,754,34.95,18.59,330,2024-06-24
585,9042,417.34,38.78,154,2024-08-27
586,9779,139.29,73.27,235,2024-08-28
587,1948,190.22,84.8,133,2024-09-20
588,2048,171.12,91.95,118,2025-03-01
589,2836,99.73,84.79,23,2024-07-28
590,9442,490.61,4.49,65,2024-05-24
591,5808,190.28,68.4,127,2024-10-11
592,1582,465.22,8.22,433,2025-01-20
593,1201,327.78,81.55,442,2024-10-13
594,5573,225.61,38.28,265,2024-08-26
595,2336,163.2,45.44,450,2024-08-23
596,5216,369.13,22.88,52,2024-12-11
597,6241,399.71,33.2,106,2024-05-02
598,6306,24.11,89.7,342,2025-03-08
599,4811,423.95,19.3,402,2024-10-09
600,155,459.77,75.57,105,2024-07-20
601,2940,14.7,57.12,22,2025-04-09
602,8488,469.65,50.54,62,2025-04-13
603,8087,268.98,74.92,224,2024-09-06
604,7906,498.57,80.12,376,2024-05-19
605,7899,283.54,8.76,39,2025-04-22
606,5892,132.23,55.83,137,2024-12-24
607,3214,46.09,76.51,82,2024-05-03
608,1028,339.09,26.06,233,2024-06-13
609,4365,70.68,59.0,283,2024-05-31
610,4493,459.27,0.88,361,2024-05-23
611,9839,335.95,94.3,391,2024-08-17
612,2739,90.87,20.56,7,2024-07-26
613,5517,142.41,97.49,292,2024-05-03
614,2848,488.45,11.12,158,2024-05-08
615,1693,348.83,55.22,412,2025-04-13
616,303,219.03,97.11,100,2024-07-09
617,3494,202.02,93.59,285,2025-04-03
618,5296,251.92,72.08,85,2025-03-18
619,3488,353.17,7.29,29,2024-09-11
620,5312,189.91,43.29,418,2024-12-26
621,2064,298.86,12.84,11,2024-11-25
622,9346,160.42,89.02,356,2024-12-02
623,7642,82.04,43.14,312,2025-03-19
624,8437,110.41,81.74,314,2024-08-19
625,4795,133.78,64.82,156,2024-05-31
626,2769,171.2,49.93,52,2024-10-12
627,4273,323.78,24.84,434,2024-10-14
628,4748,459.6,15.16,258,2024-12-11
629,1966,277.36,9.13,126,2024-09-28
630,9242,390.3,17.14,483,2024-11-18
631,3682,478.18,33.58,420,2025-04-21
632,4572,341.87,98.37,84,2024-07-31
633,5614,77.92,26.91,106,2025-02-23
634,2103,236.63,41.23,396,2024-08-28
635,2634,447.88,95.72,299,2025-01-24
636,1,329.96,88.04,237,2024-12-03
